,plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
3675,Qatar-4 b,1.8053949,5.85,0.02861,,88.82,1.552,,0.114,1,Transit,2016,4.858333342,44.02750001,,,,0.954,1.115,5219.0,,0.166,9.9e-06,0.47,0.00048,,1.2,0.057,,0.11,,0.048,0.037,50.0,,0.081,9.9e-06,0.47,0.00048,,1.2,0.057,,0.11,,0.048,0.037,50.0,,0.081,,,,12.9,0.95,0.95,,
3676,Qatar-5 b,2.8792319,4.32,0.04127,,88.74,1.107,,0.18,1,Transit,2016,7.054166671,42.0613889,,,,1.128,1.076,5747.0,,0.377,9.9e-06,0.18,0.0067,,0.87,0.064,,0.16,,0.056,0.051,49.0,,0.08,9.9e-06,0.18,0.0067,,0.87,0.064,,0.16,,0.056,0.051,49.0,,0.08,,,,5.47,4.4,4.4,,
3685,WASP-102 b,2.709813,0.624,0.0401,,89.73,1.259,,0.03,1,Transit,2016,336.4643625,15.85674724,,12.73,,1.167,1.331,5940.0,,0.09,5e-06,0.045,0.0004,,0.19,0.016,,0.05,,0.035,0.013,140.0,,0.19,4e-06,0.045,0.0004,,0.145,0.016,,0.02,,0.035,0.012,140.0,,0.19,,,,0.6,0.5,0.3,,
3686,WASP-105 b,7.87288,1.8,0.075,0.0,89.7,0.96,,0.1,1,Transit,2017,24.16666668,-50.65888891,,12.1,,0.89,0.9,5070.0,,0.28,1e-05,0.1,0.03,,0.2,0.03,,0.08,,0.09,0.03,130.0,,0.16,1e-05,0.1,0.03,,0.2,0.03,,0.08,,0.09,0.03,130.0,,0.16,,,,,,,,
3688,WASP-108 b,2.6755463,1.167,0.0397,0.0,88.49,1.215,,0.19,1,Transit,2014,195.8291667,-49.63972224,,11.2,220.0,1.167,1.215,6000.0,,0.05,2.1e-06,0.091,0.001,,0.84,0.04,,,0.115,0.092,0.04,140.0,,0.11,2.1e-06,0.091,0.001,,0.84,0.04,,,0.115,0.092,0.04,140.0,,0.11,,,,4.6,1.9,1.9,,
3689,WASP-109 b,3.3190233,0.91,0.0463,0.0,84.28,1.443,,0.737,1,Transit,2014,232.0541667,-16.41083335,,11.4,330.0,1.203,1.346,6520.0,,-0.22,4.2e-06,0.13,0.0011,,0.19,0.053,,,30.0,0.09,0.044,140.0,,0.08,4.2e-06,0.13,0.0011,,0.19,0.053,,,30.0,0.09,0.044,140.0,,0.08,,,,2.6,0.9,0.9,,
3690,WASP-110 b,3.7783977,0.515,0.0457,0.0,88.06,1.238,,0.376,1,Transit,2014,305.875,-44.05833334,,12.3,320.0,0.892,0.881,5400.0,,-0.06,3.1e-06,0.064,0.0012,,0.35,0.056,,,30.0,0.072,0.035,140.0,,0.1,3.1e-06,0.064,0.0012,,0.35,0.056,,,30.0,0.072,0.035,140.0,,0.1,,,,8.6,3.5,3.5,,
3691,WASP-111 b,2.310965,1.83,0.03914,0.0,81.61,1.442,,0.665,1,Transit,2014,328.7666667,-22.61250002,,10.3,210.0,1.5,1.85,6400.0,,0.08,3.4e-06,0.15,0.00098,,0.82,0.094,,,20.0,0.11,0.1,150.0,,0.08,3.4e-06,0.15,0.00098,,0.82,0.094,,,20.0,0.11,0.1,150.0,,0.08,,,,2.6,0.6,0.6,,
3692,WASP-112 b,3.0353992,0.88,0.0382,0.0,88.68,1.191,,0.475,1,Transit,2014,339.4875,-35.1538889,,13.3,450.0,0.807,1.002,5610.0,,-0.64,3.8e-06,0.12,0.0011,,0.28,0.049,,0.031,30.0,0.073,0.037,130.0,,0.15,3.8e-06,0.12,0.0011,,0.28,0.049,,0.031,30.0,0.073,0.037,130.0,,0.15,,,,10.6,3.0,3.0,,
3694,WASP-87A b,1.682795,2.18,0.02946,0.0,81.07,1.385,352.0,0.604,1,Transit,2014,185.325,-52.84083336,,10.7,240.0,1.204,1.627,6450.0,,-0.41,1.9e-06,0.15,0.00075,,0.63,0.06,11.0,,20.0,0.093,0.062,120.0,,0.1,1.9e-06,0.15,0.00075,,0.63,0.06,11.0,,20.0,0.093,0.062,120.0,,0.1,,,,3.8,0.8,0.8,,
3695,WASP-91 b,1.798581,1.34,0.037,0.0,86.8,1.03,,0.51,1,Transit,2017,357.8458333,-70.15277778,,12.0,,0.84,0.86,4920.0,,0.19,3e-06,0.08,0.001,,0.4,0.04,,0.04,,0.07,0.03,80.0,,0.13,3e-06,0.08,0.001,,0.4,0.04,,0.04,,0.07,0.03,80.0,,0.13,,,,,,,,
