,plname,Per,Mp,SMA,ecc,inc,Rp,lambda,b,ncomp,dismet,year,RA,dec,BmV,Vmag,dist,Mstar,Rstar,Teff,logg,FeH,PerErrU,MpErrU,SMAErrU,eccErrU,incErrU,RpErrU,lambdaErrU,bErrU,distErrU,MstarErrU,RstarErrU,TeffErrU,loggErrU,FeHErrU,PerErrL,MpErrL,SMAErrL,eccErrL,incErrL,RpErrL,lambdaErrL,bErrL,distErrL,MstarErrL,RstarErrL,TeffErrL,loggErrL,FeHErrL,Vsini,VsiniErrU,VsiniErrL,age,ageErrU,ageErrL,SHK,RHK
3395,SWEEPS-4 b,4.2,3.8,0.055,,87.0,0.81,,,1,Transit,2006,269.724667,-29.189056,,18.8,8500.0,1.24,1.18,,,,,,,,inf,0.1,,,0.0,,,,,,,inf,,,,0.1,,,0.0,,,,,,,,,,,,,
3406,V830 Tau b,4.927,0.7,0.057,0.0,55.0,,,,1,RV,2016,68.291803,24.56205,,12.1,131.0,1.0,2.0,4250.0,,,0.008,0.12,0.001,,10.0,,,,3.0,0.05,0.2,50.0,,,-0.008,-0.12,0.001,,-10.0,,,,3.0,0.05,0.2,50.0,,,30.5,0.5,-0.5,0.002,,,,
3408,WASP-113 b,4.54216875,0.475,0.05885,0.0,86.46,1.409,,0.486,1,Transit,2016,224.872776,46.960117,,11.771,360.0,1.318,1.61,5890.0,4.2,0.1,4.2e-06,0.054,0.0001,,1.2,0.095,,0.063,70.0,0.069,0.09,140.0,0.1,0.09,-4.2e-06,-0.052,0.0001,,0.64,0.14,,0.14,70.0,0.069,-0.12,140.0,-0.1,0.09,6.8,0.7,-0.7,6.2,1.6,-3.8,,
3409,WASP-114 b,1.5487743,1.769,0.02851,0.012,83.96,1.339,,0.457,1,Transit,2016,327.664437,10.463482,,12.743,460.0,1.29,1.43,5940.0,4.3,0.14,1.2e-06,0.064,0.00039,0.022,0.9,0.064,,0.052,80.0,0.05,0.06,140.0,0.1,0.07,9e-07,0.064,0.00039,-0.009,0.9,0.064,,-0.054,80.0,-0.05,0.06,140.0,-0.1,0.07,6.4,0.7,-0.7,4.3,1.4,-1.3,,
3410,WASP-118 b,4.0460435,0.514,0.05453,0.0,88.7,1.44,,0.16,1,Transit,2016,19.550543,2.702824,0.612,11.02,250.0,1.32,1.696,6410.0,4.1,0.16,4.4e-06,0.02,0.00048,,0.9,0.036,,0.1,35.0,0.035,0.029,125.0,0.01,0.1,4.4e-06,0.02,0.00048,,0.9,0.036,,-0.1,35.0,0.035,0.029,125.0,-0.01,-0.1,9.68,1.14,-1.14,1.17,5.72,-0.75,,
3411,WASP-119 b,2.49979,1.23,0.0363,0.058,85.0,1.4,,0.5,1,Transit,2016,55.933441,-65.193855,,12.2,333.0,1.02,1.2,5650.0,4.26,0.14,1e-05,0.08,0.0007,0.0,2.0,0.2,,0.1,29.0,0.06,0.1,100.0,0.08,0.1,1e-05,0.08,0.0007,0.058,2.0,0.2,,0.24,29.0,0.06,0.1,100.0,-0.08,0.1,0.7,0.9,-0.9,8.0,2.5,2.5,,
3412,WASP-120 b,3.6112706,4.85,0.0514,0.057,82.29,1.515,,0.78,1,Transit,2016,62.616051,-45.89822,0.523,11.0,335.95,1.39,1.93,6450.0,4.04,-0.05,3.8e-06,0.21,0.0007,0.022,0.48,0.083,,0.02,28.91,0.06,0.09,120.0,0.05,0.07,3.8e-06,-0.21,-0.0007,-0.018,0.48,0.083,,-0.02,-24.67,-0.06,0.09,120.0,-0.05,0.07,15.1,1.2,-1.2,2.6,0.5,-0.5,,
3413,WASP-121 b,1.2749255,1.183,0.02544,0.0,87.6,1.865,107.2,0.16,1,Transit,2016,107.600275,-39.097393,,10.44,261.58,1.353,1.46,6460.0,4.24,0.13,2e-07,0.064,0.00049,,0.6,0.044,5.0,0.04,18.44,0.06,0.03,140.0,0.01,0.09,-2.5e-07,0.064,-0.0005,,0.6,0.044,5.0,-0.042,-16.16,0.079,-0.03,140.0,-0.01,0.09,13.5,0.7,-0.7,1.5,1.0,-1.0,,
3414,WASP-123 b,2.9776412,0.899,0.04263,0.0,85.79,1.318,,0.525,1,Transit,2016,289.478676,-32.86113,0.48,11.1,191.24,1.17,1.28,5740.0,4.29,0.18,2.3e-06,0.036,0.00074,0.12,0.51,0.065,,0.0041,9.08,0.06,0.05,130.0,0.03,0.08,-2.3e-06,-0.036,-0.00074,0.0,0.51,-0.065,,0.0053,-8.29,-0.06,-0.05,-130.0,-0.03,0.08,1.0,0.7,-0.7,6.9,1.4,-1.4,,
3415,WASP-124 b,3.37265,0.6,0.0499,0.017,86.3,1.24,,0.61,1,Transit,2016,332.714323,-30.749672,,12.7,433.0,1.07,1.02,6050.0,4.44,-0.02,1e-06,0.07,0.0007,0.0,0.2,0.03,,0.02,11.0,0.05,0.02,100.0,0.02,0.11,1e-06,0.07,0.0007,0.017,0.2,0.03,,0.02,11.0,0.05,0.02,100.0,-0.02,0.11,3.2,0.9,-0.9,2.1,1.4,1.4,,
3418,WASP-129 b,5.748145,1.0,0.0628,0.096,87.7,0.93,,0.62,1,Transit,2016,176.298965,-42.063927,,12.3,246.0,1.0,0.9,5900.0,4.53,0.15,1e-06,0.1,0.0007,0.0,0.2,0.03,,0.02,7.0,0.03,0.02,100.0,0.02,0.09,1e-06,0.1,0.0007,0.096,0.2,0.03,,0.02,7.0,0.03,0.02,100.0,-0.02,0.09,2.7,0.6,-0.6,1.0,0.9,0.9,,
3421,WASP-132 b,7.133521,0.41,0.067,0.0,89.6,0.87,,0.14,1,Transit,2016,217.609131,-46.15918,,12.4,120.0,0.8,0.74,4775.0,4.61,0.22,9e-06,0.03,0.001,,0.3,0.03,,0.12,20.0,0.04,0.02,100.0,0.02,0.13,9e-06,0.03,0.001,,0.3,0.03,,0.12,20.0,0.04,0.02,100.0,-0.02,0.13,0.9,0.8,-0.8,0.5,,,,
3422,WASP-133 b,2.176423,1.16,0.0345,0.17,87.0,1.21,,0.2,1,Transit,2016,314.575373,-35.796555,,12.9,457.0,1.16,1.44,5700.0,4.18,0.29,1e-06,0.09,0.0007,0.0,1.0,0.05,,0.1,21.0,0.08,0.05,100.0,0.02,0.12,-1e-06,0.09,0.0007,0.17,1.0,0.05,,0.1,21.0,0.08,0.05,100.0,-0.02,0.12,0.3,0.7,-0.7,6.8,1.8,1.8,,
3423,WASP-136 b,5.215357,1.51,0.0661,,84.7,1.38,,0.59,1,Transit,2016,0.32575,-8.926325,,9.98,164.0,1.41,2.21,6260.0,3.9,-0.18,6e-06,0.08,0.0012,,1.6,0.16,,0.008,18.0,0.07,0.22,100.0,0.06,0.1,6e-06,0.08,0.0012,,1.3,0.16,,0.14,18.0,-0.07,-0.22,100.0,-0.06,-0.1,13.1,0.8,-0.8,3.62,0.7,0.7,,
3424,WASP-138 b,3.634433,1.09,0.0494,,88.5,1.09,,0.19,1,Transit,2016,41.639084,-0.463922,,11.81,308.0,1.22,1.36,6272.0,4.25,-0.09,5e-06,0.05,0.0007,,0.9,0.05,,0.12,51.0,0.05,0.05,96.0,0.02,0.1,5e-06,0.05,0.0007,,1.2,-0.05,,0.15,51.0,-0.05,0.05,96.0,-0.02,0.1,7.7,1.1,-1.1,3.44,0.93,-0.93,,
3426,WASP-140 b,2.2359835,2.44,0.0323,0.047,83.3,1.44,,0.99,1,Transit,2016,60.38562,-20.451092,,11.1,180.0,0.9,0.87,5260.0,4.51,0.12,8e-07,0.07,0.0005,0.0035,0.5,0.42,,0.07,30.0,0.04,0.04,100.0,0.04,0.1,-8e-07,0.07,0.0005,0.0035,0.8,0.18,,0.03,30.0,0.04,0.04,100.0,-0.04,0.1,3.1,0.8,-0.8,1.6,1.4,0.9,,
3427,WASP-141 b,3.310651,2.69,0.0469,0.0,87.6,1.21,,0.31,1,Transit,2016,71.824409,-17.115154,,12.4,570.0,1.25,1.37,5900.0,4.26,0.29,5e-06,0.15,0.0007,,1.3,0.08,,0.12,150.0,0.06,0.07,120.0,0.04,0.09,5e-06,0.15,0.0007,,1.3,0.08,,0.12,150.0,0.06,0.07,120.0,-0.04,0.09,3.9,0.8,-0.8,5.0,4.6,2.4,,
3428,WASP-142 b,2.052868,0.84,0.0347,0.0,80.2,1.53,,0.77,1,Transit,2016,140.506393,-23.946169,,12.3,840.0,1.33,1.64,6010.0,4.13,0.26,2e-06,0.09,0.0007,,0.6,0.08,,0.02,310.0,0.08,0.08,140.0,0.04,0.12,2e-06,0.09,0.0007,,0.6,0.08,,0.02,310.0,0.08,0.08,140.0,-0.04,0.12,3.1,1.4,-1.4,2.0,,,,
3429,WASP-157 b,3.9516205,0.574,0.0529,0.0,84.93,1.045,,0.887,1,Transit,2016,201.655192,-8.31756,0.045,12.91,265.99,1.26,1.11,5840.0,4.5,0.34,4e-06,0.093,0.0017,,0.45,0.044,,0.015,57.01,0.12,0.046,140.0,0.2,0.09,4e-06,-0.093,0.0017,,-0.21,0.044,,-0.044,-39.9,0.12,0.046,140.0,-0.2,0.09,1.0,0.9,-0.9,1.6,2.5,-0.8,,
3431,WASP-53 b,3.3098443,2.132,0.04101,0.03,87.08,1.074,,,1,Transit,2017,31.909203,-20.661839,,,235.0,0.84,0.8,4953.0,4.55,0.22,2e-06,0.092,0.00083,0.03,0.16,0.037,,,55.0,0.05,0.02,59.0,0.02,0.11,2e-06,-0.094,0.00091,0.0,0.15,0.037,,,55.0,-0.05,-0.02,60.0,-0.02,0.11,0.86,0.21,-0.21,,,,,
3433,WASP-65 b,2.3114243,1.55,0.0334,0.0,88.8,1.112,,0.149,1,Transit,2013,133.324304,8.523038,,11.9,310.0,0.93,1.01,5600.0,4.4,-0.07,1.5e-06,0.16,0.0016,,0.8,0.059,,0.082,50.0,0.12,0.05,100.0,0.02,0.07,-1.5e-06,0.16,0.0017,,0.7,0.059,,-0.095,50.0,0.16,-0.05,100.0,-0.02,0.07,3.6,0.5,-0.5,8.0,,,,
3434,WASP-76 b,1.809886,0.92,0.033,0.0,88.0,1.83,,0.14,1,Transit,2016,26.632746,2.700539,,9.5,120.0,1.46,1.73,6250.0,4.13,0.23,1e-06,0.03,0.0005,,1.3,0.06,,0.11,20.0,0.07,0.04,100.0,0.01,0.1,1e-06,0.03,0.0005,,-1.6,0.06,,-0.09,20.0,0.07,0.04,100.0,-0.01,0.1,3.3,0.6,-0.6,5.3,6.1,-2.9,,
3436,WASP-81 b,2.7164762,0.729,0.03908,0.066,88.69,1.429,,,1,Transit,2017,304.207886,3.29405,,,410.0,1.08,1.283,5870.0,4.26,-0.36,2.3e-06,0.036,0.0007,0.066,0.088,0.051,,,70.0,0.059,0.04,120.0,0.02,0.14,2.3e-06,0.035,0.00072,0.0,0.092,0.046,,,70.0,0.058,0.037,120.0,-0.03,0.14,,,,,,,,
3437,WASP-85 A b,2.6556777,1.265,0.039,0.0,89.69,1.24,,0.047,1,Transit,2016,175.90838,6.563726,0.707,10.72,,1.09,0.94,6112.0,,,4.4e-07,0.065,0.001,,0.11,0.03,,0.005,,0.08,0.02,27.0,,,4.4e-07,0.065,0.001,,0.03,0.03,,0.018,,0.08,-0.02,27.0,,,,,,,,,,
3438,WASP-90 b,3.916243,0.63,0.0562,0.0,82.1,1.63,,0.841,1,Transit,2016,315.531971,7.056235,,11.7,340.0,1.55,1.98,6430.0,4.03,0.11,3e-06,0.07,0.0012,0.5,0.04,0.09,,0.013,60.0,0.1,0.09,130.0,0.03,0.14,3e-06,0.07,0.0012,0.0,0.04,0.09,,-0.013,60.0,0.1,0.09,130.0,-0.03,0.14,6.0,0.5,-0.5,4.4,8.4,-2.4,,
3439,WASP-92 b,2.1746742,0.805,0.0348,0.0,83.75,1.461,,0.608,1,Transit,2016,246.692108,51.041115,,13.18,530.0,1.19,1.341,6280.0,4.26,0.0,1.6e-06,0.068,0.00036,,0.69,0.077,,0.043,90.0,0.037,0.058,120.0,0.03,0.14,1.6e-06,0.068,0.00036,,0.69,0.077,,0.043,90.0,0.037,0.058,120.0,-0.03,0.14,5.73,1.15,-1.15,2.29,6.8,-1.51,,
3440,WASP-93 b,2.7325321,1.47,0.04211,0.0,81.18,1.597,,0.9036,1,Transit,2016,9.458792,51.288761,,10.97,250.0,1.33,1.52,6700.0,4.2,0.07,2e-06,0.029,0.00035,,0.29,0.077,,0.009,60.0,0.03,0.04,100.0,0.02,0.17,2e-06,0.029,0.00035,,0.29,0.077,,-0.009,60.0,-0.03,-0.04,100.0,-0.02,0.17,37.0,3.0,-3.0,0.7,0.65,-0.65,,
3468,CL Tau b,8.9965,12.31,,,45.7,,,,1,RV,2016,69.68750002,8.096111123,,13.0,,0.8,,,,,0.0327,2.39,,,1.1,,,,,0.02,,,,,0.0327,2.39,,,1.1,,,,,0.02,,,,,,,,0.002,,,,
3469,CVSO 30 b ,0.448413,5.5,0.00838,,61.8,1.91,,,2,Transit,2012,81.2833333,1.5733333,,16.26,330.0,0.39,1.39,3740.0,,,4e-05,1.4,0.00072,,3.7,0.21,,,0.0,0.05,,,,,4e-05,1.4,0.00072,,3.7,0.21,,,0.0,0.05,,,,,,,,0.00265,3e-05,3e-05,,
3472,CoRoT-21 b,2.72474,2.26,0.0417,0.0,86.8,1.3,,,1,Transit,2011,101.05245,-0.29913,,16.0,,1.29,1.945,6200.0,,0.0,0.00014,0.31,0.0011,,2.1,0.14,,,,0.09,0.21,100.0,,0.1,0.00014,0.31,0.0011,,2.1,0.14,,,,0.09,0.21,100.0,,0.1,,,,4.1,0.5,0.5,,
